Week;Total ILI;Total Patients;% Unweighted ILI;%Weighted ILI
202124;19672;1659203;1,2;1,2
202125;19896;1643339;1,2;1,2
202126;20102;1656547;1,2;1,2
202127;22357;1682135;1,3;1,3
202128;25260;1746819;1,4;1,4
202129;30542;1782750;1,7;1,7
202130;35202;1837483;1,9;1,8
202131;37730;1831106;2,1;2
202132;40048;1849388;2,2;2,1
202133;42555;1841493;2,3;2,2
202134;42655;1848918;2,3;2,2
202135;40392;1795874;2,2;2,3
202136;39088;1767696;2,2;2,2
202137;35705;1783991;2;2,1
202138;33538;1728658;1,9;1,9
202139;28635;1547974;1,8;1,9
202140;39384;2009113;2;2
202141;37489;1972863;1,9;1,9
202142;35684;1918446;1,9;1,9
202143;36616;1934216;1,9;2
202144;39986;1917029;2,1;2,1
202145;44242;1989010;2,2;2,3
202146;47047;1996913;2,4;2,4
202147;43297;1762035;2,5;2,5
202148;52670;2056322;2,6;2,6
202149;55027;2026604;2,7;2,7
202150;62539;2018579;3,1;3,1
202151;79184;1941911;4,1;4
202152;113921;2246767;5,1;4,9
202201;92970;2175808;4,3;4,3
202202;69158;2025052;3,4;3,5
202203;48682;1811426;2,7;2,8
202204;34720;1763472;2;2,1
202205;25809;1655407;1,6;1,7
202206;23719;1771418;1,3;1,4
202207;23930;1746548;1,4;1,5
202208;23620;1725277;1,4;1,5
202209;25786;1812657;1,4;1,6
202210;28073;1815454;1,5;1,7
202211;31342;1867703;1,7;1,8
202212;32433;1873589;1,7;1,9
202213;34811;1877763;1,9;2
202214;38128;1912563;2;2,1
202215;40953;1923288;2,1;2,2
202216;42072;1927606;2,2;2,2
202217;44980;2033467;2,2;2,2
202218;47787;1979594;2,4;2,4
202219;53370;2060544;2,6;2,5
202220;54053;2075674;2,6;2,5
202221;53989;2038252;2,6;2,4
202222;51874;1961709;2,6;2,4
202223;45238;1972429;2,3;2,2
202224;40248;1940429;2,1;2
202225;37830;1972078;1,9;1,9
202226;34569;1918512;1,8;1,8
202227;34995;1951064;1,8;1,8
202228;33010;1978013;1,7;1,7
202229;32611;1979969;1,6;1,7
202230;32040;1943956;1,6;1,7
202231;29646;1958288;1,5;1,5
202232;28922;1910320;1,5;1,5
202233;31572;1949374;1,6;1,6
202234;35787;1976109;1,8;1,8
202235;37525;1977718;1,9;2
202236;38299;1964550;1,9;2
202237;39568;2000332;2;2
202238;44086;2003280;2,2;2,3
202239;44409;1919137;2,3;2,4
202240;57265;2209359;2,6;2,6
202241;63388;2223106;2,9;3
202242;75615;2279700;3,3;3,3
202243;109496;2462467;4,4;4,4
202244;139247;2510305;5,5;5,5
202245;140055;2468962;5,7;5,8
202246;137419;2396019;5,7;6
202247;164936;2237505;7,4;7,5
202248;185673;2564503;7,2;7,2
202249;167248;2448985;6,8;6,8
202250;151672;2347026;6,5;6,3
202251;129978;2116491;6,1;6
202252;112531;2058533;5,5;5,3
202301;92034;2257219;4,1;3,9
202302;67720;2214718;3,1;3
202303;57770;2134322;2,7;2,6
202304;58231;2179097;2,7;2,6
202305;59326;2208786;2,7;2,6
202306;62258;2301891;2,7;2,6
202307;59665;2262519;2,6;2,6
202308;57223;2212367;2,6;2,5
202309;55682;2278801;2,4;2,4
202310;54686;2274369;2,4;2,4
202311;54263;2228243;2,4;2,4
202312;55394;2295244;2,4;2,3
202313;53342;2270922;2,3;2,3
202314;48355;2191695;2,2;2,1
202315;46725;2254413;2,1;2
202316;44507;2277306;2;1,9
202317;44802;2270577;2;1,9
202318;45582;2259439;2;2
202319;45769;2295923;2;1,9
202320;43287;2201307;2;1,9
202321;41516;2168823;1,9;1,8
202322;41589;2145458;1,9;1,9
202323;36939;2181788;1,7;1,6
202324;33880;2151323;1,6;1,5
202325;30884;2138540;1,4;1,4
202326;28485;2151296;1,3;1,3
202327;26646;2063853;1,3;1,2
202328;25895;2154541;1,2;1,2
202329;25791;2162348;1,2;1,1
202330;26409;2145297;1,2;1,2
202331;26883;2131262;1,3;1,2
202332;29301;2154580;1,4;1,3
202333;33648;2184448;1,5;1,5
202334;40959;2241822;1,8;1,7
202335;44050;2224209;2;2
202336;44396;2191629;2;2
202337;44948;2248682;2;2
202338;47616;2225296;2,1;2
202339;48462;2203925;2,2;2,1
