"name";"max_growthrate";"RSE_max.growthrate";"peak";"RSE_peak";"ymax_observed";"max_weekly_est";"max_cumul_est"
"30";"birds";0.987418404059616;0.242271079977551;4.84545972667599;0.258529800643256;4916;3988.0667140871;10840.6892795853
"22";"birds_GER";1.09572852491627;0.0635701289901812;4.97568604849324;0.0728205437645049;4829;10085.7922662454;27416.0258429476
"23";"birds_LUX";0.662480837045422;0.41919236457821;7.90976689882093;0.416739037861224;141;620.752403708596;1687.37997897335
"24";"birds_LUX2";0.888811922129965;0.161113233369736;3.93351714352774;0.173497854963612;141;218.025709195177;592.655323442145
"31";"birds2";0.971989303102956;0.0451880378630041;5.48934044351004;0.0485401332439028;4581;8832.27222478205;24008.6050926286
"17";"Covid_AUS";0.959298575183365;0.0604514966941276;4.07487307637648;0.0662471776059406;21;43.0306184961728;116.9693483255
"18";"Covid_AUS2";0.989630067489826;0.0341340588469769;4.1666648831985;0.0383149408268913;21;41.1157807394355;111.764279646914
"12";"Covid_ECDC";0.990787769634479;0.0213743087952978;5.14690437436259;0.0229620264435966;29374;54504.3994458539;148158.318584738
"13";"Covid_ECDC2";0.888740688768402;0.0759282339785113;4.94346961455237;0.0817551073475901;29374;51413.3671332544;139756.021618219
"29";"Covid_ECDC22";0.681612404998778;0.279221749625983;3.1092343092429;0.379330114136276;28254;62938.5619500882;171084.749258269
"21";"Covid_ECU";1.13453687062941;0.0977663353412974;4.6352292666093;0.105606790090002;971;2221.05622635452;6037.45678008532
"1";"Covid_GER";0.996675589066071;0.075736829136509;5.53055572344515;0.0816494399698345;1738;1773.00509506384;4819.52753167735
"4";"Covid_LUX";1.25786507144691;0.0683998160535885;5.34300843202538;0.0668428146828156;23;25.7383470343271;69.9640810379841
"19";"Covid_THA";1.084018118981;0.116083780233885;4.52679392599272;0.125402048992678;15;32.2007969382617;87.5308411791765
"7";"Covid_USA";0.97670003466108;0.0755502685078295;4.54283125055548;0.0780729215394143;17113;29017.5965818804;78878.0054940807
"9";"Euromomo";0.979738280791005;0.0346749076081204;5.33046056270582;0.0374777482973762;106865;245683.888934326;667838.05083533
"10";"Euromomo2";0.983463117478657;0.0273762685205894;5.18505758182944;0.0295480652085359;106865;232378.75989841;631670.960351696
"11";"Euromomo3";0.66507196073668;0.27614024095516;9.34863546314239;0.296971549225476;106865;167908.358812513;456422.240606436
"25";"horses_cases";0.908604397374002;0.125464886838383;4.12337512781221;0.127836877404111;103;176.571413442099;479.970864584986
"26";"horses_cases2";0.958285500683538;0.114226271958115;4.42786259887289;0.12251942439081;103;138.287820542265;375.905269677244
"27";"horses_deaths";0.947360747246447;0.123092251236194;2.56916010518053;0.1952335738299;92;290.782406671127;790.428532089714
"28";"horses_deaths2";0.975882880681485;0.0841528737341305;4.29543075085575;0.105895974663925;92;189.037552605738;513.857344144548
"14";"total_AUS";1.07050217164724;0.0654998603485129;4.59571698611874;0.0696784336123055;2856;3933.40514706172;10692.1037352251
"15";"total_AUS2";0.975489294746203;0.066098816374741;6.42633435718869;0.0713568656975028;2856;7693.19549377262;20912.2735135051
"16";"total_AUS3";0.938467496107512;0.0878916511129766;4.02697910958956;0.0963097745128416;2856;6003.94547401706;16320.4158810795
"20";"total_ECU";1.03594781356221;0.0836530840327906;4.95801567908166;0.0964065696585153;7157;13652.6559882804;37111.7666831451
"2";"total_GER";1.07195442142579;0.0550392390795552;5.40626502477846;0.057932178380579;20620;22888.8672240492;62218.3918491449
"3";"total_GER2";1.0624746256011;0.103054787526708;5.71198446358344;0.116004837293956;20620;17608.7174080909;47865.4565528839
"5";"total_LUX";1.11453043954666;0.042080083778097;5.4069166889331;0.0441243802565522;116;126.169369744144;342.963905083636
"6";"total_LUX2";0.917343236617021;0.127487496452926;4.34318978056676;0.137066632254034;116;175.112703066721;476.005678678611
"8";"total_USA";0.975322897933695;0.0448851405590612;5.34337646268117;0.0485281364850568;79086;183088.917665126;497687.277881347
